"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","559","Создание пользователя","LMS service","Mon Feb 16 07:04:45 UTC 2026","passed","Mon Feb 16 07:04:46 UTC 2026","Create entity","Users","",""
"","21","Получение списка заданий","LMS service","Mon Feb 16 07:04:42 UTC 2026","passed","Mon Feb 16 07:04:42 UTC 2026","Get entities","Exercises","",""
"","36","Создание курса","LMS service","Mon Feb 16 07:04:38 UTC 2026","passed","Mon Feb 16 07:04:38 UTC 2026","Create entity","Courses","",""
"","18","Удаление задания","LMS service","Mon Feb 16 07:04:41 UTC 2026","passed","Mon Feb 16 07:04:41 UTC 2026","Delete entity","Exercises","",""
"","25","Создание задания","LMS service","Mon Feb 16 07:04:40 UTC 2026","passed","Mon Feb 16 07:04:40 UTC 2026","Create entity","Exercises","",""
"","55","Обновление курса","LMS service","Mon Feb 16 07:04:38 UTC 2026","passed","Mon Feb 16 07:04:38 UTC 2026","Update entity","Courses","",""
"","272","Получение файла с некорректным file_id","LMS service","Mon Feb 16 07:04:45 UTC 2026","passed","Mon Feb 16 07:04:45 UTC 2026","Validate entity","Files","",""
"","256","Создание файла с пустым directory","LMS service","Mon Feb 16 07:04:44 UTC 2026","passed","Mon Feb 16 07:04:44 UTC 2026","Validate entity","Files","",""
"","15","Получение файла","LMS service","Mon Feb 16 07:04:43 UTC 2026","passed","Mon Feb 16 07:04:43 UTC 2026","Get entity","Files","",""
"","26","Получение задания","LMS service","Mon Feb 16 07:04:41 UTC 2026","passed","Mon Feb 16 07:04:41 UTC 2026","Get entity","Exercises","",""
"","560","Создание пользователя","LMS service","Mon Feb 16 07:04:45 UTC 2026","passed","Mon Feb 16 07:04:46 UTC 2026","Create entity","Users","",""
"","29","Получение курса","LMS service","Mon Feb 16 07:04:37 UTC 2026","passed","Mon Feb 16 07:04:37 UTC 2026","Get entities","Courses","",""
"","556","Создание пользователя","LMS service","Mon Feb 16 07:04:45 UTC 2026","passed","Mon Feb 16 07:04:45 UTC 2026","Create entity","Users","",""
"","12","Получение информации о текущем пользователе","LMS service","Mon Feb 16 07:04:47 UTC 2026","passed","Mon Feb 16 07:04:47 UTC 2026","Get entity","Users","",""
"","21","Создание файла","LMS service","Mon Feb 16 07:04:42 UTC 2026","passed","Mon Feb 16 07:04:42 UTC 2026","Create entity","Files","",""
"","297","Удаление файла","LMS service","Mon Feb 16 07:04:44 UTC 2026","passed","Mon Feb 16 07:04:45 UTC 2026","Delete entity","Files","",""
"","263","Создание файла с пустым filename","LMS service","Mon Feb 16 07:04:43 UTC 2026","passed","Mon Feb 16 07:04:43 UTC 2026","Validate entity","Files","",""
"","546","Авторизация с корректным email и password","LMS service","Mon Feb 16 07:04:37 UTC 2026","passed","Mon Feb 16 07:04:37 UTC 2026","Login","Authentication","",""
"","23","Обновление задания","LMS service","Mon Feb 16 07:04:40 UTC 2026","passed","Mon Feb 16 07:04:40 UTC 2026","Update entity","Exercises","",""
